Cl,Cd
-0.4856,0.11817
-0.4871,0.11409
-0.9695,0.0336
-0.9618,0.03068
-0.9496,0.02834
-0.9341,0.02643
-0.9169,0.02474
-0.8985,0.02317
-0.8788,0.0218
-0.8575,0.02072
-0.8358,0.01972
-0.8139,0.01869
-0.7914,0.01782
-0.7685,0.01707
-0.7459,0.01627
-0.7268,0.01462
-0.7051,0.01374
-0.6823,0.01315
-0.6592,0.01266
-0.636,0.01221
-0.6128,0.01178
-0.5897,0.01137
-0.5664,0.01104
-0.5431,0.01076
-0.521,0.01023
-0.4869,0.00973
-0.4512,0.00942
-0.4145,0.00913
-0.379,0.00877
-0.3416,0.00847
-0.3074,0.00819
-0.2732,0.00796
-0.2413,0.00782
-0.2135,0.00765
-0.1872,0.00763
-0.1612,0.0075
-0.1345,0.00747
-0.1078,0.00739
-0.081,0.00735
-0.0542,0.00727
-0.0278,0.00712
-0.0021,0.00681
0.0204,0.00597
0.0441,0.00551
0.0687,0.00528
0.0938,0.00519
0.1187,0.00513
0.1437,0.00512
0.1692,0.00515
0.1951,0.00522
0.2246,0.00538
0.2583,0.00561
0.2972,0.00589
0.3361,0.00615
0.3698,0.0064
0.4056,0.00665
0.4409,0.00689
0.4742,0.00712
0.499,0.00729
0.5239,0.00743
0.5489,0.00758
0.5741,0.00771
0.5991,0.00788
0.6244,0.00801
0.6498,0.00814
0.6749,0.00832
0.7004,0.00845
0.726,0.00859
0.7512,0.00879
0.777,0.00891
0.8023,0.00912
0.8274,0.00936
0.8523,0.00966
0.8774,0.00995
0.9026,0.01023
0.9277,0.01055
0.953,0.01085
0.9783,0.01114
1.0029,0.01155
1.0285,0.0118
1.0532,0.0122
1.078,0.01257
1.1032,0.01288
1.1275,0.0133
1.1516,0.01375
1.1767,0.01405
1.2011,0.01443
1.2246,0.01491
1.2472,0.01551
1.2716,0.01584
1.2955,0.01622
1.3188,0.01667
1.3406,0.01726
1.3628,0.0178
1.3861,0.01817
1.4083,0.01865
1.4282,0.01937
1.4503,0.0198
1.4705,0.02042
1.4893,0.02114
1.5054,0.02207
1.5215,0.02294
1.5335,0.0241
1.5444,0.02515
1.552,0.02627
1.5568,0.02763
1.5584,0.02932
1.5552,0.03165
1.5537,0.03412
1.553,0.0368
1.5491,0.04015
1.5415,0.04434
1.5292,0.04961
1.5106,0.05625
1.4828,0.0647
1.4449,0.07504
1.3941,0.08761
1.3351,0.10171
