Cl,Cd
-0.5695,0.09193
-0.5686,0.0875
-0.5695,0.08264
-0.5678,0.07735
-0.5611,0.07192
-0.5522,0.06654
-0.5411,0.06119
-0.5279,0.05582
-0.5652,0.01897
-0.5443,0.01616
-0.5249,0.01399
-0.5053,0.01251
-0.483,0.01174
-0.4596,0.01129
-0.4352,0.01087
-0.4107,0.01053
-0.3867,0.00985
-0.3613,0.00958
-0.3355,0.00921
-0.3084,0.00922
-0.2814,0.00913
-0.2545,0.00923
-0.2281,0.00901
-0.2017,0.0087
-0.1743,0.00863
-0.1468,0.00858
-0.121,0.0081
-0.0938,0.0079
-0.0663,0.00776
-0.0386,0.00763
-0.0108,0.00754
0.0169,0.0074
0.0441,0.00715
0.0659,0.00601
0.0845,0.0049
0.1097,0.00431
0.1634,0.00458
0.219,0.00495
0.2635,0.00525
0.3013,0.00568
0.33,0.00603
0.3582,0.00637
0.3858,0.00659
0.4129,0.00678
0.4396,0.00696
0.466,0.0071
0.4923,0.00724
0.5185,0.00738
0.5447,0.00752
0.5708,0.00764
0.5968,0.00779
0.6227,0.00794
0.6486,0.00808
0.6743,0.00827
0.7001,0.00841
0.7256,0.00861
0.7513,0.00875
0.7767,0.00897
0.8022,0.00912
0.8275,0.00932
0.8528,0.00952
0.878,0.00972
0.903,0.00996
0.9279,0.01018
0.9526,0.01045
0.9766,0.01082
1.0003,0.01123
1.0239,0.01165
1.0475,0.01204
1.0709,0.01245
1.0938,0.01293
1.1168,0.01337
1.1389,0.01393
1.1613,0.01443
1.1843,0.01481
1.2065,0.01528
1.2277,0.01589
1.2477,0.01664
1.2704,0.017
1.2922,0.01745
1.3134,0.01797
1.3338,0.01857
1.352,0.0194
1.3717,0.02001
1.3923,0.0205
1.412,0.02104
1.4307,0.02166
1.4469,0.0225
1.464,0.02317
1.4784,0.02404
1.4874,0.02518
1.49,0.02658
1.4907,0.02824
1.4916,0.03003
1.4931,0.03189
1.4925,0.03409
1.4899,0.03668
1.485,0.03977
1.4769,0.04352
1.4647,0.04823
1.4478,0.05426
1.4236,0.06246
1.387,0.07395
1.3381,0.08741
1.2847,0.10095
