Cl,Cd
-0.4615,0.09316
-0.6816,0.03375
-0.695,0.02716
-0.69,0.02463
-0.6629,0.02236
-0.6328,0.02063
-0.6078,0.01712
-0.579,0.01577
-0.5472,0.01506
-0.5172,0.01438
-0.4862,0.01366
-0.4536,0.01293
-0.4236,0.01233
-0.39,0.01189
-0.3568,0.01066
-0.32,0.01029
-0.2827,0.00999
-0.2418,0.00972
-0.2015,0.00898
-0.1681,0.00875
-0.1337,0.00856
-0.1046,0.00816
-0.0771,0.008
-0.0493,0.00786
-0.023,0.00759
0.0037,0.00749
0.0545,0.00719
0.0794,0.00709
0.1041,0.007
0.1287,0.0069
0.1532,0.00679
0.1774,0.00666
0.2012,0.00653
0.2251,0.0064
0.2487,0.00624
0.272,0.0061
0.2952,0.00598
0.3178,0.00583
0.337,0.00555
0.4478,0.00526
0.4799,0.00539
0.5053,0.00552
0.5307,0.00566
0.5564,0.00578
0.5822,0.00591
0.6079,0.00604
0.6336,0.00617
0.6593,0.00631
0.685,0.00645
0.7106,0.00659
0.7362,0.00674
0.7619,0.00689
0.7875,0.00703
0.813,0.0072
0.8384,0.00736
0.8638,0.00753
0.889,0.00771
0.914,0.00791
0.939,0.00811
0.9637,0.00834
0.9879,0.0086
1.0112,0.00894
1.0351,0.00923
1.0589,0.00954
1.0827,0.00983
1.1064,0.01014
1.1298,0.01046
1.1527,0.01083
1.175,0.01125
1.1966,0.01173
1.2148,0.0125
1.2322,0.01335
1.2513,0.01405
1.2717,0.0146
1.292,0.01516
1.3124,0.01569
1.3302,0.01644
1.3511,0.01689
1.3709,0.0174
1.3893,0.018
1.4033,0.01894
1.4188,0.0197
1.4358,0.0203
1.4512,0.02098
1.4642,0.0217
1.4744,0.02243
1.4836,0.02324
1.4893,0.02431
1.4864,0.02601
1.4847,0.0278
1.4937,0.02894
1.4995,0.03041
1.5032,0.03217
1.5056,0.0342
1.5068,0.03648
1.5067,0.03907
1.5056,0.04196
1.5028,0.04519
1.4987,0.04878
1.4924,0.05279
1.4839,0.05723
1.4733,0.06212
1.4604,0.06743
1.446,0.07313
1.4304,0.07913
1.414,0.08534
1.3973,0.09174
1.3803,0.09827
