Cl,Cd
-0.4967,0.11096
-0.5297,0.09819
-0.5427,0.0912
-0.5384,0.08845
-0.5371,0.08504
-0.5411,0.08079
-0.5651,0.07386
-0.6871,0.0493
-0.6807,0.04722
-0.7627,0.02538
-0.7442,0.02353
-0.7233,0.02205
-0.7003,0.02101
-0.6759,0.02028
-0.6524,0.01902
-0.6284,0.0177
-0.6024,0.01709
-0.576,0.01661
-0.5493,0.01618
-0.5225,0.01574
-0.4955,0.01532
-0.4684,0.01493
-0.4412,0.0146
-0.4139,0.01427
-0.3865,0.01399
-0.3589,0.01375
-0.3328,0.01298
-0.3057,0.01259
-0.2781,0.01231
-0.2505,0.01207
-0.2228,0.01184
-0.195,0.01163
-0.1672,0.01144
-0.139,0.0113
-0.1123,0.01092
-0.0844,0.01077
-0.0564,0.01066
-0.0285,0.0106
-0.0005,0.01052
0.0273,0.01031
0.0557,0.01018
0.0842,0.01009
0.1123,0.00995
0.1408,0.00987
0.169,0.00976
0.1974,0.00965
0.2253,0.0095
0.2518,0.00915
0.2651,0.00749
0.2816,0.007
0.3077,0.00715
0.3339,0.00723
0.3601,0.00727
0.3859,0.00733
0.4116,0.00737
0.4363,0.00743
0.4624,0.00754
0.4977,0.0076
0.5295,0.00763
0.5608,0.00768
0.5916,0.00782
0.6228,0.00786
0.6539,0.00787
0.6846,0.0079
0.7148,0.00792
0.744,0.00795
0.7741,0.00798
0.8068,0.00809
0.8398,0.00815
0.8729,0.00812
0.9057,0.00811
0.9384,0.00812
0.9706,0.00821
1.0025,0.00832
1.0342,0.00842
1.0654,0.00858
1.0963,0.00874
1.1262,0.00895
1.1578,0.00922
1.189,0.00959
1.2191,0.01014
1.2484,0.01087
1.2769,0.01178
1.2874,0.01265
1.296,0.01362
1.3068,0.01472
1.3182,0.01589
1.3296,0.01704
1.3395,0.01828
1.346,0.01973
1.3353,0.02303
1.3279,0.02695
1.3174,0.03086
1.3098,0.03428
1.2998,0.03788
1.2922,0.04121
1.2859,0.04441
1.2804,0.04749
1.2724,0.05096
1.2738,0.05351
