Cl,Cd
-0.5678,0.11183
-1.0078,0.04381
-1.0423,0.03276
-1.036,0.02844
-1.0139,0.0275
-0.9898,0.027
-0.9669,0.02605
-0.9441,0.02489
-0.9217,0.02339
-0.898,0.02197
-0.8734,0.02059
-0.8479,0.01946
-0.8218,0.01852
-0.795,0.01786
-0.7709,0.01593
-0.7442,0.01522
-0.7165,0.01489
-0.6889,0.01443
-0.6607,0.01389
-0.6324,0.01343
-0.6038,0.01304
-0.5762,0.01218
-0.5478,0.01172
-0.5193,0.01142
-0.4909,0.01114
-0.4622,0.011
-0.4331,0.01042
-0.4039,0.01017
-0.3746,0.00998
-0.3455,0.00963
-0.3165,0.00941
-0.2875,0.00921
-0.2577,0.00891
-0.2281,0.00861
-0.1988,0.00822
-0.1697,0.00773
-0.1406,0.00697
-0.1108,0.00619
-0.0816,0.00579
-0.0526,0.00557
-0.0237,0.00539
0.0051,0.00533
0.0341,0.00524
0.0627,0.0052
0.0915,0.00517
0.1197,0.00515
0.1471,0.00515
0.1766,0.00532
0.2149,0.00656
0.245,0.00695
0.2742,0.00715
0.3017,0.00727
0.3296,0.00739
0.3565,0.00745
0.3848,0.00755
0.4153,0.00761
0.4486,0.00774
0.4819,0.00784
0.5126,0.00797
0.5433,0.00816
0.5738,0.00827
0.6042,0.00841
0.6345,0.00861
0.6646,0.00871
0.6946,0.00888
0.7245,0.00907
0.7542,0.0092
0.7838,0.00943
0.8132,0.00958
0.8425,0.00981
0.8716,0.01004
0.9006,0.01028
0.9293,0.01058
0.9576,0.01092
0.9857,0.01131
1.0134,0.01173
1.0408,0.01218
1.0679,0.01266
1.0946,0.01317
1.1208,0.01376
1.1466,0.01437
1.1724,0.01493
1.1971,0.01568
1.2228,0.01616
1.2477,0.01673
1.2711,0.01752
1.2939,0.01834
1.3175,0.01893
1.3402,0.01961
1.362,0.02034
1.3823,0.0212
1.3989,0.02241
1.4089,0.02416
1.4255,0.02507
1.4373,0.02608
1.448,0.02718
1.4582,0.02838
1.4676,0.02968
1.4758,0.03113
1.4831,0.03268
