Cl,Cd
-1.1669,0.07145
-1.1638,0.06881
-1.1614,0.0661
-1.1622,0.06316
-1.1657,0.05999
-1.1666,0.05708
-1.1656,0.0544
-1.1618,0.05207
-1.158,0.04979
-1.1543,0.04752
-1.1486,0.04548
-1.1414,0.04362
-1.1325,0.04193
-1.1238,0.04029
-1.1231,0.038
-1.1199,0.03599
-1.1138,0.03427
-1.1061,0.03273
-1.0967,0.03138
-1.087,0.03008
-1.0751,0.02898
-1.0497,0.0276
-0.9894,0.0259
-0.9221,0.02434
-0.8685,0.02331
-0.8458,0.02252
-0.8289,0.02188
-0.8166,0.02111
-0.8085,0.02021
-0.7975,0.01952
-0.7858,0.01888
-0.7724,0.01836
-0.7582,0.01787
-0.7429,0.01745
-0.7338,0.01685
-0.7214,0.01633
-0.7073,0.01591
-0.6922,0.01558
-0.6777,0.01519
-0.6642,0.01477
-0.6496,0.01444
-0.6332,0.01417
-0.6188,0.01379
-0.6024,0.0135
-0.5864,0.01323
-0.571,0.01295
-0.5529,0.01271
-0.5369,0.01241
-0.5192,0.01221
-0.5036,0.01194
-0.4854,0.0117
-0.4679,0.01145
-0.4516,0.0112
-0.4352,0.01097
-0.4188,0.01065
-0.4036,0.01032
-0.3912,0.00993
-0.3774,0.00962
-0.3593,0.00938
-0.3403,0.00917
-0.3211,0.00901
-0.3024,0.00888
-0.2828,0.00876
-0.261,0.00866
-0.2402,0.00857
-0.2203,0.0085
-0.1794,0.00838
-0.1583,0.00832
-0.1368,0.00827
-0.1163,0.00822
-0.0933,0.00817
-0.0703,0.0081
-0.0481,0.00804
-0.0259,0.008
-0.0046,0.00799
0.0177,0.0079
0.039,0.00782
0.0608,0.00777
0.0833,0.00777
0.1046,0.00776
0.1273,0.0077
0.1504,0.00767
0.173,0.00766
0.1938,0.00766
0.2153,0.00767
0.2387,0.00764
0.2608,0.00761
0.2825,0.00761
0.3039,0.00765
0.3245,0.00768
0.3469,0.00765
0.3693,0.00764
0.3907,0.00766
0.4113,0.00769
0.4309,0.00777
0.4535,0.00778
0.4771,0.00779
0.5017,0.00784
0.5239,0.00791
0.542,0.00801
