Cl,Cd
-0.9053,0.06192
-0.9477,0.04868
-0.9718,0.04246
-0.9896,0.03849
-1.0063,0.0358
-1.0263,0.03408
-1.0514,0.0331
-1.0644,0.03175
-1.0713,0.03038
-1.0606,0.02864
-1.041,0.02696
-1.0193,0.02551
-0.9954,0.02424
-0.9695,0.02316
-0.9481,0.02184
-0.9282,0.02003
-0.9034,0.01889
-0.8759,0.01803
-0.8469,0.01731
-0.8171,0.01664
-0.7866,0.016
-0.7555,0.01539
-0.7314,0.01487
-0.7035,0.01438
-0.6738,0.01382
-0.644,0.01311
-0.6119,0.01269
-0.5797,0.01231
-0.5478,0.01195
-0.5169,0.01143
-0.4899,0.01112
-0.4647,0.01081
-0.4367,0.01049
-0.4077,0.01018
-0.3783,0.00992
-0.3501,0.00975
-0.3261,0.00954
-0.2991,0.00933
-0.2715,0.0091
-0.2436,0.00891
-0.2182,0.00871
-0.1916,0.00853
-0.1644,0.00833
-0.1367,0.00814
-0.1104,0.00799
-0.0833,0.00785
-0.0561,0.00765
-0.0283,0.00748
-0.0024,0.00725
0.0233,0.00691
0.0483,0.0064
0.0709,0.00578
0.0944,0.0053
0.1201,0.00504
0.146,0.00489
0.1721,0.00474
0.1972,0.00462
0.2228,0.00455
0.2484,0.00451
0.2735,0.00448
0.2979,0.0045
0.3231,0.00457
0.3487,0.00465
0.3737,0.00478
0.3976,0.00493
0.4247,0.00513
0.4512,0.0054
0.4813,0.00577
0.5076,0.00628
0.5384,0.00705
0.5691,0.00772
0.5995,0.00828
0.6297,0.00873
0.6618,0.00914
0.695,0.00947
0.7282,0.00973
0.7615,0.00996
0.7851,0.01018
0.8049,0.01036
0.8245,0.01054
0.8434,0.01077
0.8636,0.01092
0.8829,0.01116
0.9031,0.01136
0.9234,0.01158
0.9435,0.01184
0.9645,0.01207
0.9852,0.01236
1.0068,0.01264
1.0281,0.01297
1.05,0.01328
1.0712,0.01368
1.0932,0.01401
1.1134,0.0145
1.1354,0.01483
1.1563,0.01525
1.1756,0.01581
1.1965,0.0162
1.2164,0.01664
1.2342,0.01716
