Cl,Cd
-0.4108,0.12781
-0.4251,0.11833
-0.8416,0.03967
-0.8231,0.03687
-0.8036,0.03411
-0.7837,0.03161
-0.764,0.02934
-0.7405,0.02733
-0.7131,0.02591
-0.6827,0.02501
-0.6507,0.02441
-0.6367,0.02087
-0.6105,0.01953
-0.5817,0.01861
-0.5527,0.01784
-0.5286,0.01727
-0.5031,0.01662
-0.4768,0.0159
-0.4529,0.01525
-0.4283,0.01464
-0.4021,0.01407
-0.3776,0.0136
-0.3517,0.01318
-0.3251,0.01287
-0.3016,0.01199
-0.2764,0.01133
-0.251,0.01086
-0.2248,0.01048
-0.1983,0.01016
-0.1719,0.00985
-0.1453,0.00958
-0.1188,0.00934
-0.0919,0.00911
-0.0648,0.00894
-0.0376,0.00875
-0.0109,0.00847
0.0163,0.00827
0.0435,0.00812
0.071,0.00798
0.0983,0.00786
0.1254,0.00767
0.1517,0.00739
0.1788,0.00726
0.2056,0.00713
0.2327,0.00699
0.2592,0.00688
0.2862,0.00678
0.3132,0.00671
0.34,0.00669
0.3671,0.00665
0.3941,0.00664
0.4209,0.00666
0.4476,0.00668
0.4741,0.00671
0.5005,0.00674
0.5268,0.00676
0.5525,0.00676
0.5651,0.00574
0.5916,0.00576
0.6271,0.00597
0.664,0.0062
0.7023,0.00644
0.7402,0.00667
0.7789,0.0069
0.8138,0.00712
0.8588,0.00745
0.8813,0.00761
0.9034,0.00778
0.9251,0.00798
0.9468,0.00818
0.9683,0.00839
1.0125,0.00877
1.0346,0.00897
1.0565,0.0092
1.0786,0.00944
1.1009,0.00969
1.1227,0.00998
1.1444,0.01031
1.1648,0.01072
1.1831,0.0113
1.2,0.01198
1.2182,0.01257
1.2376,0.01308
1.2559,0.01365
1.273,0.01427
1.2902,0.01482
1.3066,0.01536
1.3243,0.01582
1.3402,0.0164
1.3584,0.01683
1.3746,0.01739
1.389,0.01807
1.4065,0.01855
1.422,0.01915
1.4348,0.01995
1.4485,0.02069
1.4637,0.02134
1.4774,0.02211
1.4883,0.02308
1.4977,0.02419
