Cl,Cd
-0.3156,0.14464
-1.0248,0.03605
-1.0371,0.03284
-1.0347,0.03166
-1.0214,0.03117
-1.007,0.0309
-0.9948,0.03059
-0.9847,0.03027
-0.9771,0.02987
-0.9635,0.0293
-0.9347,0.02845
-0.9045,0.02781
-0.88,0.02584
-0.8522,0.02475
-0.8218,0.02455
-0.7899,0.02444
-0.7579,0.02416
-0.7261,0.02364
-0.6946,0.0228
-0.6628,0.02209
-0.6348,0.02188
-0.6138,0.01942
-0.5853,0.01872
-0.5602,0.01823
-0.5348,0.01779
-0.5089,0.01733
-0.4853,0.01678
-0.4604,0.01615
-0.4358,0.01569
-0.4099,0.01537
-0.3842,0.015
-0.3599,0.01406
-0.3365,0.01283
-0.3112,0.01219
-0.2852,0.01169
-0.2325,0.0109
-0.2059,0.01057
-0.1791,0.01026
-0.1523,0.00999
-0.1255,0.00972
-0.0985,0.00947
-0.0714,0.00926
-0.044,0.00908
-0.0175,0.0087
0.0096,0.00847
0.0371,0.0083
0.0645,0.00818
0.0922,0.00806
0.1198,0.00796
0.1471,0.00784
0.1747,0.00767
0.202,0.00752
0.2293,0.00737
0.2564,0.00718
0.2833,0.00701
0.3107,0.00686
0.338,0.00677
0.3651,0.00664
0.3918,0.00645
0.4171,0.00614
0.4408,0.00578
0.4632,0.00547
0.4866,0.00538
0.5201,0.00546
0.56,0.00558
0.6022,0.00572
0.6464,0.00585
0.6708,0.00598
0.6949,0.00612
0.7187,0.00628
0.7423,0.00647
0.765,0.00672
0.787,0.00702
0.8091,0.00733
0.8326,0.00757
0.8567,0.00779
0.881,0.00801
0.906,0.00819
0.9314,0.00836
0.957,0.00852
0.9822,0.00872
1.0081,0.00886
1.033,0.00909
1.059,0.00923
1.084,0.00945
1.109,0.00966
1.1341,0.00988
1.1584,0.01014
1.1816,0.01048
1.2028,0.01097
1.2407,0.01224
1.2606,0.01279
1.2805,0.01333
1.3008,0.01381
1.3208,0.0143
1.3401,0.01481
1.3571,0.01539
1.3618,0.01664
1.3715,0.01761
1.3856,0.01831
