Cl,Cd
-1.0618,0.09629
-1.0829,0.08923
-1.1058,0.08201
-1.126,0.07537
-1.1463,0.06876
-1.1635,0.06274
-1.177,0.0573
-1.189,0.05222
-1.1962,0.04789
-1.2016,0.04396
-1.2031,0.04067
-1.203,0.03774
-1.2013,0.03516
-1.1952,0.03319
-1.2008,0.03034
-1.2013,0.02821
-1.1971,0.02662
-1.19,0.02537
-1.1802,0.02438
-1.1708,0.02344
-1.1603,0.02262
-1.1494,0.02188
-1.1379,0.02121
-1.1246,0.02067
-1.1224,0.01972
-1.1156,0.01907
-1.1052,0.01858
-1.0908,0.01811
-1.0753,0.01766
-1.0584,0.01728
-1.0411,0.01692
-1.0288,0.01628
-1.003,0.01574
-0.96,0.01522
-0.9044,0.01468
-0.8678,0.01407
-0.8478,0.01389
-0.8271,0.01372
-0.8068,0.01346
-0.7861,0.01315
-0.7634,0.01294
-0.7398,0.01277
-0.6939,0.01221
-0.6699,0.01199
-0.6463,0.01173
-0.6212,0.01157
-0.5971,0.0113
-0.5472,0.0109
-0.5216,0.01076
-0.4966,0.01051
-0.4712,0.01035
-0.4452,0.01017
-0.42,0.00999
-0.394,0.00979
-0.3682,0.00964
-0.3422,0.00946
-0.3162,0.00929
-0.2904,0.00914
-0.2643,0.00895
-0.2384,0.00879
-0.2123,0.00864
-0.1861,0.00846
-0.1603,0.00832
-0.1342,0.00815
-0.1079,0.008
-0.0822,0.00785
-0.0561,0.00771
-0.03,0.00755
-0.0041,0.00744
0.0218,0.00733
0.0481,0.0072
0.074,0.00709
0.0995,0.00702
0.1255,0.00692
0.1513,0.00683
0.1771,0.00677
0.2024,0.00675
0.2286,0.00667
0.2547,0.00663
0.2806,0.00663
0.3064,0.00664
0.3335,0.00662
0.3605,0.00663
0.3877,0.00668
0.4155,0.00675
0.4452,0.00679
0.4756,0.00686
0.5049,0.00696
0.5389,0.00711
0.5707,0.00719
0.607,0.0073
0.6389,0.00744
0.6742,0.00762
0.7125,0.00772
0.7493,0.00783
0.784,0.00797
0.8149,0.00818
0.8528,0.00825
0.8898,0.00835
0.9249,0.00853
