Cl,Cd
-0.6874,0.08708
-0.7008,0.08167
-0.7239,0.07507
-1.0221,0.03098
-1.0289,0.02826
-1.025,0.02649
-1.0168,0.02505
-1.0056,0.02384
-0.9923,0.02279
-0.9634,0.02172
-0.9272,0.02072
-0.8913,0.01926
-0.8592,0.01835
-0.8233,0.01755
-0.7943,0.01693
-0.7596,0.01599
-0.7014,0.01512
-0.6661,0.0146
-0.6435,0.01423
-0.6198,0.01398
-0.5964,0.01356
-0.5713,0.0133
-0.5202,0.01271
-0.4943,0.0124
-0.4678,0.0122
-0.4143,0.01175
-0.3874,0.01154
-0.3602,0.01137
-0.3327,0.0112
-0.3055,0.01103
-0.2774,0.01091
-0.2501,0.01072
-0.222,0.0106
-0.1943,0.01047
-0.1662,0.01034
-0.1381,0.01029
-0.11,0.01013
-0.0819,0.01011
-0.0536,0.00997
-0.0254,0.00993
0.0032,0.00986
0.0312,0.00975
0.0596,0.00971
0.0881,0.00964
0.1161,0.00959
0.1449,0.00954
0.1731,0.0095
0.2014,0.00945
0.23,0.00942
0.2582,0.00942
0.2867,0.00935
0.3152,0.00935
0.3432,0.00937
0.3718,0.0093
0.4002,0.00931
0.4282,0.00934
0.4568,0.00929
0.485,0.00932
0.5129,0.00934
0.5415,0.00932
0.5696,0.00933
0.5972,0.0094
0.6256,0.00936
0.6537,0.00935
0.6812,0.00937
0.7089,0.00936
0.7367,0.00928
0.764,0.00923
0.7907,0.00919
0.8654,0.00856
0.9024,0.00854
0.9299,0.00865
0.9573,0.00876
0.9843,0.0089
1.0107,0.00908
1.0371,0.00926
1.0646,0.00937
1.0914,0.00951
1.1178,0.00968
1.1434,0.0099
1.1697,0.01007
1.1966,0.01019
1.2229,0.01035
1.2485,0.01054
1.2732,0.01079
1.2984,0.01099
1.3246,0.01113
1.3501,0.01131
1.3749,0.01151
1.3988,0.01176
1.4211,0.01209
1.4465,0.01223
1.4711,0.01241
1.4946,0.01263
1.5171,0.01289
1.538,0.01321
1.5581,0.01355
1.581,0.01374
1.6017,0.01395
1.6203,0.01422
