Cl,Cd
-0.584,0.10069
-0.5973,0.08979
-0.6039,0.08054
-0.6244,0.06995
-0.6424,0.0611
-0.65,0.05506
-0.6599,0.0499
-0.6657,0.04602
-0.6704,0.04253
-0.6705,0.03977
-0.6686,0.03728
-0.6615,0.03543
-0.6542,0.03376
-0.6455,0.03227
-0.6367,0.03134
-0.6257,0.03004
-0.6111,0.02869
-0.5985,0.02772
-0.5926,0.02711
-0.5745,0.02597
-0.5468,0.0246
-0.5252,0.02377
-0.5047,0.02297
-0.4865,0.02224
-0.4688,0.02158
-0.4517,0.02091
-0.4344,0.02033
-0.4178,0.01969
-0.4009,0.0191
-0.3846,0.0185
-0.3688,0.01791
-0.3528,0.01734
-0.3371,0.01678
-0.3205,0.01628
-0.3038,0.01579
-0.2864,0.01537
-0.2759,0.01467
-0.2678,0.01395
-0.2581,0.0135
-0.2452,0.01306
-0.2272,0.01263
-0.2065,0.01226
-0.1845,0.01195
-0.1613,0.01168
-0.1371,0.01144
-0.1132,0.01113
-0.0877,0.01091
-0.0611,0.01073
-0.0361,0.01038
-0.0151,0.00938
0.0091,0.00791
0.0393,0.00725
0.07,0.00699
0.1005,0.00685
0.1311,0.00677
0.1618,0.00679
0.1919,0.0068
0.2218,0.00681
0.2515,0.00685
0.2815,0.00688
0.3113,0.00694
0.3413,0.007
0.3714,0.00706
0.401,0.00713
0.43,0.00713
0.4593,0.00714
0.4888,0.00716
0.5184,0.00719
0.5476,0.00726
0.5764,0.00726
0.6054,0.00729
0.6346,0.00732
0.664,0.00737
0.693,0.0074
0.7218,0.00738
0.7503,0.00738
0.7782,0.00742
0.8067,0.00744
0.8348,0.00749
0.8628,0.00756
0.8913,0.00762
0.9182,0.00771
0.945,0.00774
0.9709,0.00784
1.0215,0.00811
1.0466,0.00826
1.0708,0.00844
1.0945,0.00864
1.1177,0.00885
1.14,0.00909
1.1579,0.00947
1.1791,0.01048
1.186,0.01103
1.1882,0.01181
1.1826,0.0129
1.1758,0.01416
1.1704,0.01552
1.1692,0.01687
1.1698,0.01825
1.1692,0.01979
