Cl,Cd
-0.7236,0.11582
-0.7257,0.11296
-0.7195,0.11062
-0.7077,0.10759
-0.6988,0.10413
-0.6884,0.1008
-0.6811,0.09692
-0.6714,0.09345
-0.6584,0.0904
-0.6488,0.08682
-0.6428,0.08289
-0.6378,0.07963
-0.6344,0.07598
-0.6328,0.07194
-0.6283,0.06811
-0.6217,0.06437
-0.63,0.0603
-0.635,0.05587
-0.637,0.052
-0.6326,0.04754
-0.6246,0.04308
-0.6023,0.03968
-0.5934,0.03575
-0.59,0.03259
-0.5792,0.03044
-0.5716,0.02809
-0.5429,0.02374
-0.5196,0.02251
-0.511,0.02059
-0.4876,0.01804
-0.4751,0.01722
-0.4676,0.01618
-0.4741,0.01516
-0.4676,0.01468
-0.4509,0.01435
-0.4327,0.01413
-0.4133,0.01389
-0.3945,0.01354
-0.3752,0.01332
-0.353,0.01313
-0.3294,0.01299
-0.3085,0.01285
-0.2851,0.01259
-0.2623,0.01244
-0.2384,0.01232
-0.2122,0.01221
-0.1879,0.01209
-0.1641,0.01194
-0.1372,0.01181
-0.1113,0.01173
-0.0869,0.01171
-0.0599,0.01156
-0.0332,0.01145
-0.0081,0.01139
0.0165,0.01137
0.0436,0.01132
0.0691,0.01121
0.0934,0.01117
0.1188,0.01116
0.1461,0.01114
0.1723,0.01115
0.1971,0.01108
0.2229,0.01105
0.2509,0.011
0.2774,0.01101
0.3019,0.01107
0.3289,0.0111
0.3553,0.01104
0.3789,0.0111
0.4049,0.01112
0.4281,0.01123
0.4534,0.01131
0.4781,0.01143
0.5017,0.01155
0.5275,0.01159
0.5508,0.01173
0.5754,0.01184
0.5995,0.01197
0.6217,0.01216
0.6448,0.01233
0.6703,0.01241
0.6943,0.01251
0.7159,0.0127
0.7384,0.01287
0.7633,0.01299
0.7867,0.01315
0.8081,0.01338
0.8276,0.01363
0.8519,0.01375
0.8754,0.01391
0.8971,0.01413
0.9171,0.01441
0.9362,0.01472
0.9559,0.01501
0.9785,0.01521
1.0002,0.01547
1.0203,0.01578
1.0392,0.01612
1.0569,0.01654
1.0715,0.01708
