Cl,Cd
-1.0237,0.11818
-1.0338,0.11105
-1.0523,0.10222
-1.0928,0.08853
-1.1298,0.07684
-1.158,0.06743
-1.1715,0.06107
-1.19,0.05091
-1.2113,0.04466
-1.2136,0.04129
-1.2404,0.03539
-1.244,0.03263
-1.2468,0.03031
-1.2464,0.0285
-1.2357,0.02753
-1.2208,0.02658
-1.2084,0.02523
-1.1913,0.02436
-1.1744,0.02337
-1.1598,0.02197
-1.1412,0.02106
-1.122,0.02018
-1.1009,0.0195
-1.0794,0.01887
-1.0626,0.01756
-1.0444,0.01648
-1.0219,0.01592
-0.9988,0.01545
-0.9755,0.01498
-0.9514,0.01463
-0.9312,0.01375
-0.9084,0.01323
-0.8841,0.0129
-0.86,0.01254
-0.8353,0.01227
-0.814,0.01157
-0.79,0.01124
-0.7655,0.01097
-0.7413,0.01069
-0.7185,0.01025
-0.6943,0.01002
-0.6701,0.00979
-0.6478,0.0094
-0.6241,0.00919
-0.5923,0.00883
-0.555,0.00858
-0.5152,0.00827
-0.4633,0.00789
-0.4089,0.0074
-0.3761,0.00702
-0.3538,0.00666
-0.3111,0.00598
-0.2873,0.00583
-0.2624,0.00576
-0.2368,0.00572
-0.2111,0.00569
-0.185,0.00568
-0.1588,0.00565
-0.1323,0.00563
-0.1061,0.00562
-0.0795,0.00562
-0.053,0.0056
-0.0268,0.0056
0.0,0.00559
0.0268,0.0056
0.053,0.0056
0.0794,0.00562
0.1058,0.00563
0.1322,0.00563
0.1587,0.00565
0.1849,0.00568
0.211,0.00569
0.2367,0.00572
0.2623,0.00576
0.2872,0.00584
0.311,0.00598
0.3335,0.00621
0.3539,0.00664
0.3759,0.00703
0.4086,0.00742
0.4628,0.00788
0.5149,0.00827
0.555,0.00857
0.5924,0.00884
0.624,0.00921
0.6477,0.0094
0.67,0.0098
0.6944,0.01
0.7186,0.01023
0.7417,0.01064
0.7655,0.01096
0.7901,0.01121
0.8142,0.01154
0.8357,0.0122
0.8606,0.01245
0.8847,0.0128
0.9086,0.01318
0.9277,0.01419
0.9513,0.01462
0.9746,0.01509
