Cl,Cd
-0.8007,0.08569
-0.8419,0.07545
-0.8882,0.06417
-0.9344,0.05152
-0.9596,0.0419
-0.976,0.03582
-0.9836,0.0323
-0.9912,0.02948
-0.9644,0.02719
-0.9337,0.02529
-0.9012,0.0241
-0.8849,0.02277
-0.8768,0.02184
-0.8702,0.02108
-0.8593,0.02058
-0.8496,0.02
-0.8367,0.0194
-0.8159,0.01771
-0.8014,0.01702
-0.7841,0.01644
-0.7654,0.01596
-0.7455,0.01551
-0.7253,0.01508
-0.7045,0.01463
-0.6856,0.01404
-0.6634,0.01365
-0.6405,0.01336
-0.6196,0.01284
-0.5957,0.0126
-0.5734,0.01219
-0.5494,0.01192
-0.5255,0.01167
-0.5018,0.01133
-0.4772,0.01114
-0.4529,0.01085
-0.4285,0.0106
-0.4038,0.01038
-0.3788,0.01016
-0.3541,0.00996
-0.3282,0.0098
-0.3032,0.00962
-0.2769,0.0095
-0.2512,0.00937
-0.2245,0.00931
-0.1989,0.00914
-0.1728,0.00907
-0.146,0.00898
-0.1203,0.00887
-0.0937,0.00879
-0.0675,0.00869
-0.0414,0.00861
-0.0148,0.00852
0.0111,0.00845
0.0373,0.00834
0.0634,0.00823
0.0889,0.00815
0.1147,0.008
0.1399,0.00785
0.1643,0.00772
0.1891,0.00752
0.2122,0.00728
0.2347,0.00708
0.2577,0.00685
0.2793,0.00666
0.2992,0.00649
0.3194,0.00628
0.3421,0.00612
0.3817,0.00607
0.4385,0.00611
0.4901,0.00622
0.5273,0.00635
0.5586,0.00647
0.597,0.00666
0.6301,0.00681
0.6731,0.00694
0.7142,0.00712
0.753,0.00725
0.7938,0.00735
0.83,0.00746
0.8662,0.00754
0.901,0.00766
0.9375,0.00773
0.9741,0.00779
1.0031,0.00792
1.026,0.00799
1.0484,0.00809
1.0697,0.00824
1.0925,0.00832
1.1145,0.00845
1.1354,0.00861
1.1569,0.00875
1.1775,0.00892
1.1966,0.00916
1.2151,0.00941
1.2333,0.00967
1.2502,0.00997
1.2659,0.0103
1.2811,0.01064
1.294,0.01104
1.3,0.01165
