Cl,Cd
-0.585,0.08138
-0.6001,0.07263
-0.6178,0.06673
-0.6281,0.06037
-0.6358,0.05088
-0.6398,0.04608
-0.6601,0.03898
-0.66,0.03585
-0.6523,0.0342
-0.6445,0.03261
-0.6308,0.03081
-0.604,0.02855
-0.5879,0.01765
-0.5556,0.01641
-0.5263,0.01478
-0.4972,0.013
-0.4647,0.01224
-0.4303,0.01168
-0.3952,0.01112
-0.363,0.01062
-0.3296,0.0102
-0.3027,0.00948
-0.2764,0.00913
-0.2499,0.00889
-0.2246,0.00855
-0.1986,0.00832
-0.1725,0.00809
-0.1462,0.00788
-0.1206,0.00755
-0.0959,0.00707
-0.0729,0.00636
-0.051,0.00557
-0.0274,0.00513
-0.0031,0.00488
0.021,0.00474
0.0457,0.00472
0.0702,0.00477
0.0948,0.0049
0.1196,0.00509
0.1443,0.00533
0.1693,0.00558
0.1948,0.00585
0.2214,0.00611
0.2493,0.00634
0.2779,0.00655
0.3104,0.00677
0.3429,0.00696
0.3741,0.00713
0.4099,0.0073
0.4455,0.00747
0.4805,0.00763
0.5146,0.00779
0.548,0.00792
0.581,0.00809
0.6158,0.00822
0.65,0.00838
0.6842,0.00852
0.718,0.0087
0.7428,0.00882
0.7657,0.00899
0.789,0.00912
0.8121,0.00927
0.8348,0.00948
0.8581,0.00963
0.8814,0.0098
0.9041,0.01005
0.9281,0.01019
0.9516,0.0104
0.9748,0.01067
0.9991,0.01083
1.0229,0.01107
1.0466,0.01136
1.0713,0.01155
1.0956,0.01183
1.1197,0.01213
1.1444,0.01238
1.168,0.01277
1.1924,0.01306
1.2156,0.01349
1.2378,0.01403
1.2586,0.01472
1.2793,0.0154
1.2999,0.01609
1.3207,0.01671
1.3404,0.01744
1.3613,0.01799
1.3795,0.0188
1.3985,0.01948
1.4175,0.02011
1.4343,0.0209
1.4463,0.02204
1.4629,0.0227
1.4761,0.02346
1.486,0.02434
1.4928,0.02546
1.4921,0.02716
1.4988,0.02843
1.5056,0.02977
1.5096,0.03144
1.5116,0.03342
