Cl,Cd
-1.0122,0.06265
-1.0488,0.05275
-1.0689,0.04708
-1.0813,0.04312
-1.0909,0.03991
-1.0958,0.03743
-1.0993,0.03524
-1.1004,0.03334
-1.0994,0.03166
-1.0959,0.03017
-1.0914,0.0287
-1.0834,0.02729
-1.0725,0.02592
-1.0596,0.02467
-1.0453,0.02349
-1.0295,0.02244
-1.0122,0.02155
-0.9935,0.02084
-0.983,0.01904
-0.9687,0.01796
-0.9504,0.01749
-0.9324,0.01707
-0.9158,0.01662
-0.9012,0.01615
-0.889,0.01569
-0.8628,0.01523
-0.8344,0.01406
-0.8013,0.01343
-0.7669,0.01298
-0.733,0.01256
-0.6995,0.01203
-0.6668,0.01144
-0.6354,0.0111
-0.6059,0.01083
-0.577,0.01029
-0.549,0.01004
-0.523,0.00969
-0.4963,0.00943
-0.4719,0.00912
-0.4465,0.00885
-0.4223,0.00854
-0.398,0.00823
-0.3741,0.00795
-0.3495,0.00771
-0.3248,0.00747
-0.3003,0.0072
-0.2768,0.00685
-0.2585,0.00605
-0.2399,0.00544
-0.2166,0.00521
-0.1933,0.00503
-0.1689,0.00491
-0.1204,0.00469
-0.0965,0.00464
-0.0734,0.00469
-0.0492,0.00479
-0.0242,0.0049
0.0013,0.00502
0.0274,0.00514
0.054,0.00526
0.0801,0.00539
0.1066,0.00555
0.1342,0.0057
0.1595,0.00587
0.1878,0.00606
0.2154,0.00634
0.2394,0.00668
0.2649,0.00714
0.2949,0.00749
0.3253,0.00774
0.3539,0.00792
0.3798,0.00808
0.4139,0.00825
0.4478,0.00847
0.4825,0.0086
0.5165,0.00875
0.5496,0.00892
0.5812,0.00913
0.6119,0.00922
0.6379,0.00938
0.6718,0.00953
0.7058,0.00964
0.7391,0.00979
0.7716,0.01
0.796,0.0113
0.8251,0.01188
0.8546,0.01238
0.8854,0.01282
0.919,0.01342
0.9523,0.01385
0.9835,0.01434
1.0113,0.01518
1.0317,0.01594
1.0478,0.01641
1.0625,0.01694
1.0759,0.01751
1.0883,0.0181
1.1,0.01869
1.111,0.01928
1.1201,0.01995
