Cl,Cd
-0.9027,0.13128
-0.9469,0.11778
-0.9827,0.10651
-1.017,0.09587
-1.0477,0.08624
-1.0772,0.07731
-1.1022,0.06926
-1.1229,0.06205
-1.1398,0.05559
-1.1519,0.05001
-1.1597,0.04523
-1.1643,0.04104
-1.1659,0.03748
-1.1651,0.03451
-1.1632,0.03201
-1.1598,0.02998
-1.1555,0.02831
-1.1501,0.02694
-1.1437,0.0258
-1.1319,0.02476
-1.1169,0.02384
-1.0999,0.02302
-1.0865,0.02181
-1.0744,0.02044
-1.0565,0.01959
-1.0369,0.01893
-1.0176,0.01836
-1.0006,0.01786
-0.9732,0.01729
-0.9413,0.01676
-0.9135,0.01564
-0.8837,0.01504
-0.8531,0.01454
-0.8251,0.01411
-0.7989,0.01357
-0.7747,0.01309
-0.7499,0.01278
-0.7255,0.01247
-0.701,0.01204
-0.6754,0.0118
-0.6499,0.01142
-0.6236,0.01123
-0.5973,0.01091
-0.5706,0.01072
-0.5435,0.01049
-0.5168,0.01021
-0.4892,0.01003
-0.462,0.00978
-0.4348,0.00953
-0.4071,0.00931
-0.3803,0.00895
-0.3526,0.00875
-0.3245,0.0086
-0.2962,0.00848
-0.2678,0.0084
-0.2392,0.0083
-0.2108,0.00819
-0.1821,0.00809
-0.1538,0.00797
-0.126,0.00768
-0.0989,0.00724
-0.0707,0.00702
-0.0425,0.00687
-0.0137,0.00671
0.0148,0.00657
0.0433,0.00646
0.0723,0.00636
0.1011,0.00632
0.1302,0.00629
0.1595,0.00624
0.1885,0.00623
0.2175,0.0062
0.2467,0.00615
0.2756,0.00613
0.3045,0.0061
0.3332,0.00605
0.3617,0.00599
0.3899,0.00596
0.4182,0.00587
0.4455,0.00581
0.472,0.00574
0.4974,0.0057
0.5227,0.00571
0.5513,0.00578
0.5838,0.00593
0.6184,0.00621
0.6545,0.00661
0.6891,0.00694
0.7126,0.00722
0.7367,0.00747
0.7613,0.00772
0.7861,0.00798
0.8113,0.00825
0.8364,0.00854
0.8612,0.00888
0.8855,0.00926
0.9342,0.01003
0.958,0.01046
0.9816,0.0109
1.0042,0.01144
