Cl,Cd
-0.5553,0.13002
-0.5549,0.1264
-0.8715,0.03023
-0.8543,0.02678
-0.8341,0.02409
-0.812,0.02191
-0.7884,0.02015
-0.7637,0.01874
-0.7376,0.01763
-0.7106,0.01697
-0.6861,0.01514
-0.6588,0.01471
-0.6314,0.01425
-0.6036,0.01372
-0.5757,0.0132
-0.5477,0.01284
-0.5209,0.01181
-0.4927,0.01145
-0.4642,0.01114
-0.4356,0.0109
-0.4073,0.01053
-0.379,0.01005
-0.3501,0.0098
-0.3212,0.00961
-0.2926,0.00924
-0.2635,0.00903
-0.2344,0.00888
-0.2054,0.00858
-0.1763,0.00838
-0.1473,0.00809
-0.1186,0.00761
-0.0899,0.00712
-0.0616,0.00652
-0.0328,0.00625
-0.0038,0.00612
0.0253,0.00603
0.0545,0.00596
0.0839,0.00593
0.1132,0.00589
0.172,0.00585
0.2012,0.0058
0.2304,0.00573
0.2587,0.00549
0.2805,0.00509
0.3178,0.00515
0.3554,0.00525
0.3846,0.00535
0.414,0.00549
0.4436,0.00565
0.4737,0.00587
0.5042,0.00618
0.5347,0.00649
0.5649,0.00678
0.5951,0.00708
0.6252,0.00737
0.6549,0.00762
0.6846,0.00786
0.7142,0.00812
0.7438,0.00839
0.7734,0.00869
0.8029,0.00901
0.8322,0.00932
0.8615,0.00966
0.8905,0.00999
0.9195,0.01035
0.9483,0.01076
0.9769,0.0112
1.0052,0.01167
1.0333,0.01215
1.0611,0.01257
1.0888,0.01304
1.116,0.01354
1.1431,0.01399
1.1697,0.01456
1.1961,0.01507
1.2217,0.01575
1.247,0.01638
1.2716,0.01715
1.2952,0.01804
1.317,0.0192
1.34,0.01998
1.3613,0.02093
1.3804,0.02207
1.3943,0.02371
1.4039,0.02527
1.4139,0.0266
1.4231,0.02809
1.4307,0.02977
1.4369,0.03164
1.4416,0.0337
1.4446,0.03601
1.4463,0.03854
1.4458,0.0414
1.4442,0.04451
1.4408,0.04795
1.4353,0.05182
1.4278,0.05618
1.4191,0.06093
1.4077,0.0663
1.3949,0.07215
