Cl,Cd
-0.7097,0.10027
-0.7164,0.09649
-0.7263,0.09204
-0.7312,0.08823
-0.7373,0.08418
-0.7393,0.08058
-0.743,0.07682
-0.743,0.07349
-0.7442,0.07002
-0.749,0.06616
-0.7533,0.06235
-0.7566,0.05874
-0.7564,0.05552
-0.7588,0.04888
-0.7593,0.04563
-0.7556,0.04291
-0.7557,0.03981
-0.7525,0.03704
-0.7492,0.03435
-0.7437,0.03193
-0.7379,0.02947
-0.7291,0.02731
-0.7184,0.02533
-0.7058,0.02343
-0.6916,0.02169
-0.6766,0.0202
-0.6554,0.01881
-0.6038,0.01644
-0.5744,0.01549
-0.5426,0.01462
-0.5098,0.01388
-0.4763,0.01326
-0.4418,0.01267
-0.4073,0.01216
-0.3737,0.01174
-0.3406,0.0114
-0.3068,0.01106
-0.273,0.01074
-0.2394,0.01044
-0.2058,0.0102
-0.172,0.00996
-0.1389,0.00981
-0.1066,0.00973
-0.0738,0.00963
-0.0408,0.00952
-0.0089,0.00949
0.0232,0.00946
0.0564,0.00936
0.0886,0.00932
0.1201,0.00935
0.1527,0.00929
0.1855,0.00922
0.2176,0.0092
0.249,0.00924
0.2809,0.00924
0.3139,0.00917
0.3459,0.00916
0.3773,0.0092
0.4085,0.00926
0.4413,0.0092
0.4735,0.00919
0.5049,0.00924
0.5357,0.00932
0.568,0.0093
0.6001,0.0093
0.6314,0.00935
0.6619,0.00946
0.6937,0.00947
0.7257,0.00948
0.7567,0.00953
0.7871,0.00964
0.818,0.00973
0.8495,0.00975
0.8802,0.00981
0.9115,0.00986
0.9415,0.00998
0.9707,0.01015
1.0022,0.01016
1.0327,0.01024
1.0627,0.01034
1.0924,0.01046
1.1208,0.01065
1.1507,0.01074
1.1809,0.01082
1.2099,0.01094
1.239,0.01107
1.2667,0.01127
1.2936,0.0115
1.3231,0.01158
1.3517,0.01171
1.3794,0.01186
1.4065,0.01205
1.4319,0.01231
1.4566,0.01259
1.4843,0.01271
1.5108,0.01288
1.5357,0.01309
1.5577,0.01333
1.5787,0.01367
1.598,0.01412
