Cl,Cd
-1.205,0.07124
-1.2069,0.06749
-1.2068,0.06414
-1.2049,0.0611
-1.2017,0.05827
-1.1964,0.05575
-1.1902,0.05339
-1.1821,0.05126
-1.1874,0.04792
-1.182,0.04563
-1.172,0.0438
-1.1593,0.04225
-1.1487,0.0408
-1.139,0.03942
-1.1268,0.03815
-1.1135,0.03693
-1.0969,0.03591
-1.0909,0.03407
-1.0772,0.03282
-1.0588,0.03192
-1.0397,0.03107
-1.0204,0.03022
-1.0,0.02943
-0.9781,0.02874
-0.9657,0.02737
-0.946,0.02647
-0.9232,0.02578
-0.915,0.02525
-0.8955,0.02465
-0.8736,0.02409
-0.852,0.02344
-0.8355,0.02238
-0.8122,0.02173
-0.7873,0.02117
-0.7628,0.02063
-0.7381,0.02012
-0.7154,0.0195
-0.6939,0.0188
-0.6703,0.0183
-0.6602,0.01797
-0.6394,0.01757
-0.6165,0.01721
-0.5966,0.01661
-0.5736,0.01615
-0.5498,0.01576
-0.5278,0.01534
-0.5126,0.01505
-0.4952,0.01468
-0.4761,0.01425
-0.4559,0.01381
-0.4358,0.01336
-0.4154,0.01294
-0.3992,0.0126
-0.3842,0.01223
-0.3692,0.01174
-0.3549,0.01117
-0.3423,0.01052
-0.3348,0.00991
-0.3331,0.00933
-0.3313,0.00866
-0.3311,0.00796
-0.3345,0.00749
-0.3348,0.00721
-0.3267,0.00694
-0.3128,0.00672
-0.2961,0.0066
-0.2903,0.00661
-0.2792,0.0066
-0.262,0.00657
-0.2408,0.00652
-0.2141,0.0065
-0.2067,0.00656
-0.1873,0.00666
-0.1703,0.00671
-0.1373,0.00679
-0.1123,0.00678
-0.083,0.00676
-0.0449,0.0068
-0.0237,0.00688
0.0,0.0069
0.0238,0.00688
0.0449,0.0068
0.083,0.00676
0.1123,0.00678
0.1373,0.00679
0.1703,0.00672
0.1874,0.00666
0.2066,0.00656
0.2142,0.0065
0.2412,0.00652
0.2621,0.00657
0.2801,0.0066
0.2923,0.00662
0.2965,0.0066
0.3129,0.00672
0.3266,0.00694
0.3349,0.00721
0.3345,0.0075
0.3311,0.00796
0.3317,0.00866
