Cl,Cd
-0.6324,0.17185
-0.6264,0.16824
-1.0624,0.05365
-1.1187,0.0415
-1.1473,0.03672
-1.1608,0.03368
-1.1612,0.03196
-1.1548,0.03081
-1.1416,0.02999
-1.1273,0.02908
-1.1121,0.02815
-1.0972,0.02705
-1.0816,0.0259
-1.0648,0.02481
-1.0472,0.02374
-1.0286,0.02273
-1.009,0.02183
-0.9882,0.02107
-0.9665,0.02046
-0.951,0.01867
-0.9299,0.01799
-0.9077,0.01751
-0.8856,0.01704
-0.8639,0.01657
-0.8425,0.01613
-0.8213,0.01572
-0.8001,0.01535
-0.7791,0.01504
-0.7636,0.014
-0.7444,0.01362
-0.7148,0.01327
-0.6798,0.01288
-0.6442,0.01249
-0.6089,0.01218
-0.5764,0.01148
-0.5405,0.01118
-0.5072,0.01087
-0.4747,0.0106
-0.4468,0.01013
-0.421,0.00989
-0.3956,0.00973
-0.37,0.00961
-0.3453,0.00931
-0.3192,0.00918
-0.293,0.0091
-0.2669,0.00894
-0.2402,0.00886
-0.2132,0.00882
-0.1866,0.00869
-0.1595,0.00867
-0.1325,0.00858
-0.1052,0.00854
-0.0779,0.00849
-0.051,0.0084
-0.0298,0.00747
-0.008,0.00676
0.0163,0.00642
0.0408,0.00621
0.0664,0.00612
0.092,0.00608
0.1181,0.00609
0.1444,0.00614
0.1708,0.00623
0.1971,0.00634
0.2235,0.00646
0.2492,0.0066
0.2761,0.00675
0.3029,0.00691
0.3317,0.00705
0.3606,0.00719
0.3896,0.00736
0.4229,0.00749
0.4558,0.00768
0.4869,0.00779
0.5222,0.00796
0.5586,0.00811
0.5945,0.00824
0.6295,0.00841
0.664,0.00855
0.6975,0.00867
0.7309,0.00885
0.7661,0.009
0.8012,0.00911
0.8355,0.00927
0.8694,0.00944
0.8998,0.00956
0.9228,0.00971
0.9454,0.00991
0.9687,0.01002
0.9914,0.01019
1.0136,0.01042
1.0367,0.01056
1.059,0.01078
1.0814,0.011
1.1041,0.0112
1.1258,0.01151
1.1489,0.0117
1.1708,0.01202
1.1934,0.01228
1.2149,0.01264
