Cl,Cd
-0.3655,0.1406
-0.3661,0.13754
-0.8795,0.05357
-0.8996,0.04632
-0.917,0.04222
-0.9255,0.03932
-0.94,0.03573
-0.9396,0.03399
-0.9432,0.03173
-0.9444,0.0297
-0.9389,0.02862
-0.9315,0.0279
-0.9277,0.02656
-0.9245,0.02491
-0.9185,0.02413
-0.9141,0.02322
-0.911,0.02265
-0.9071,0.02175
-0.8867,0.0209
-0.8551,0.01967
-0.8245,0.01884
-0.7926,0.01817
-0.764,0.01729
-0.7354,0.01575
-0.6972,0.01489
-0.6547,0.01418
-0.6122,0.01356
-0.5829,0.01308
-0.5629,0.01276
-0.5479,0.01231
-0.53,0.012
-0.5102,0.01176
-0.4899,0.01152
-0.4696,0.01122
-0.448,0.011
-0.4251,0.01081
-0.4029,0.01059
-0.3786,0.01046
-0.3547,0.0103
-0.3305,0.01014
-0.3057,0.01004
-0.2813,0.00986
-0.2562,0.00978
-0.2317,0.00957
-0.2069,0.00945
-0.1811,0.00934
-0.1565,0.00917
-0.1312,0.00905
-0.106,0.0089
-0.0821,0.00869
-0.0805,0.00694
-0.0612,0.00654
-0.0371,0.00638
-0.0122,0.00631
0.0395,0.00624
0.0654,0.00624
0.0917,0.0062
0.1179,0.00623
0.1444,0.0062
0.224,0.00627
0.2514,0.0063
0.2778,0.00634
0.3047,0.00637
0.3313,0.00642
0.3574,0.00647
0.4102,0.00658
0.4366,0.00664
0.4623,0.0067
0.4878,0.00679
0.5126,0.00689
0.5366,0.00705
0.5593,0.00723
0.5807,0.00751
0.6017,0.00779
0.6235,0.008
0.6453,0.00821
0.6677,0.00839
0.6921,0.00856
0.7207,0.00876
0.7549,0.009
0.7912,0.00925
0.8299,0.00957
0.8647,0.00979
0.9009,0.0101
0.9327,0.01032
0.9649,0.01064
0.9997,0.01087
1.0318,0.01121
1.0655,0.01148
1.0998,0.01181
1.1335,0.0122
1.145,0.01253
1.1557,0.01286
1.1658,0.01325
1.1748,0.01368
1.1799,0.01408
1.187,0.01445
1.1941,0.01495
1.204,0.01545
1.2146,0.01599
